,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
519,CHEMBL2177827,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(=O)Nc5ccccc5)cc4)c3n2)c1,15.0,active,521.5590000000002,3.6071000000000026,2.0,6.0,15.0,7.823908740944319
520,CHEMBL2177830,Nc1ncccc1-c1nc2cc(-c3ccccc3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,51000.0,inactive,539.5740000000001,2.9680000000000017,3.0,7.0,51000.0,4.292429823902063
525,CHEMBL2177831,Nc1ncccc1-c1nc2cc(-c3cccnc3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,30.0,active,470.01700000000034,3.2451000000000016,2.0,6.0,30.0,7.522878745280337
526,CHEMBL2177833,Nc1ncccc1-c1nc2cc(-c3cccnc3)cnc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1,27.0,active,514.0700000000003,3.119200000000002,2.0,7.0,27.0,7.568636235841013
527,CHEMBL2177362,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCOCC4)c4ccc(Cl)c(F)c4)CC3)c21,24.0,active,528.0970000000001,3.6502000000000034,2.0,7.0,24.0,7.619788758288394
528,CHEMBL2177361,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCC4CC4)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,3.0,active,500.0430000000003,2.8716000000000017,2.0,7.0,3.0,8.522878745280337
529,CHEMBL2178598,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC(C)(C)CO)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,6.0,active,455.9900000000003,2.8550000000000013,2.0,6.0,6.0,8.221848749616356
530,CHEMBL2178597,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC(C)(C)C)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,5.0,active,472.03300000000024,3.443200000000002,1.0,6.0,5.0,8.301029995663981
531,CHEMBL2177372,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)c(F)c1,17.0,active,498.0710000000003,4.025300000000003,2.0,6.0,17.0,7.769551078621726
532,CHEMBL2177371,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CN)c4ccc(C(F)(F)F)cc4)CC3)c21,30.0,active,502.0340000000003,3.536900000000003,1.0,6.0,30.0,7.522878745280337
